Algorithm,Run,HV,IGD,Spacing,Spread,BestScalar,Runtime_s
NSGA-II,7,69694.19636195184,2.8784507049206014,0.503637812144127,71.27670094469418,1088.368549637694,3.767658233642578
NSGA-II,8,77477.24855586735,4.634319623314919,2.031153779023496,182.5956606121272,1091.802818227877,3.851405382156372
NSGA-II,9,70505.25585377749,8.511095820151533,0.481977002958995,52.67699905955422,1098.8208103064833,3.590954303741455
NSGA-II,10,61470.08835046376,14.847654075799106,2.1434967431138205,107.32741117721112,1108.413937713581,3.5465519428253174
NSGA-II,11,76812.52476657288,2.6464806203133295,1.1030575344191051,51.31361637917418,1079.9557113310238,3.692894458770752
NSGA-II,12,62132.42842362946,12.390501723652184,0.5622856831725366,40.79973543634873,1104.6686729638625,3.6748440265655518
NSGA-II,13,65090.70646128156,17.01694058093485,1.9881170262094263,62.1915825649381,1110.8478101903981,3.782841444015503
NSGA-II,14,59538.91878822563,35.994565092487385,0.5993534770080158,56.53833509629686,1137.9150632515189,3.634251832962036
NSGA-II,15,60636.533902270116,22.62400745717202,0.9222170856552037,45.390434886486425,1119.7003826053908,3.595590829849243
NSGA-II,16,74900.56186564166,2.719749469944567,2.8510492443639928,198.52050362846575,1086.43174495362,3.8612864017486572
NSGA-II,17,63745.47517538569,9.310641567361571,0.5321248198153865,27.646588226737475,1100.4407889315432,3.648768424987793
NSGA-II,18,56937.9563295996,28.168838751453222,0.8508655219908905,62.86343080086792,1127.1304009635314,3.6831071376800537
NSGA-II,19,73629.88378511282,12.725331878315622,12.599800547391537,202.52107910003465,1105.0191090390824,3.579746961593628
MOPSO,0,67249.36204133203,5.523712651950259,0.0,37.77730532994965,1093.8224948151203,4.773244857788086
MOPSO,1,71225.6018513482,5.571288215319542,0.0,9.208691545887136,1093.0691501062925,5.025000095367432
MOPSO,2,72162.8300919342,6.02679492840553,0.0,39.08234608171847,1093.20919967654,5.87547492980957
MOPSO,3,78010.37618191556,5.247444067945211,1.4581629615738199,25.448560852804807,1080.73797159377,3.4684813022613525
MOPSO,4,72189.51983849755,4.5674737938051155,0.0,22.71263174661961,1091.8005429675793,5.280607223510742
MOPSO,5,74359.46219771913,5.519609852417503,0.0,33.52966544564257,1093.0332915848326,6.232891798019409
MOPSO,6,68210.93789021207,5.087309736104763,0.24752111565865234,17.7315401158109,1092.7467853576989,3.9678828716278076
MOPSO,7,74191.08794844452,9.191533903449383,0.0,53.40365608501895,1075.9457471069065,3.1516337394714355
MOPSO,8,78333.71925477701,3.410105065046477,0.0,8.141670057193414,1089.4093864039519,5.699893951416016
MOPSO,9,70759.7038059148,8.473244086863797,0.0,26.464431722376716,1098.7568549583777,5.7040205001831055
MOPSO,10,69069.5399458674,5.935312986197274,0.49929341832374313,25.044324572835006,1094.380200651325,4.8565733432769775
MOPSO,11,86768.6295909337,3.7989115757380234,0.0,32.022494510271216,1061.281416953752,4.908765554428101
MOPSO,12,68799.17294026559,3.801149339033212,3.6244182718477456,31.11777094735298,1085.7324366054268,2.369328022003174
MOPSO,13,72056.01756014365,3.623355044952334,0.4098519511757113,20.65114943820008,1089.6610884046363,3.966967821121216
MOPSO,14,80838.32782199417,2.4695705407829034,0.0,53.29493440729823,1079.9331759394674,5.622260808944702
MOPSO,15,71266.62410426507,6.791682544485592,0.0,23.961827100445806,1095.2442575703635,5.466769218444824
MOPSO,16,77421.0306064498,3.014403404863243,0.0,48.02310239465586,1081.3149389555751,6.325413942337036
MOPSO,17,68871.75405388667,3.6412909372189106,0.0,28.956825077050617,1085.920095306475,5.4699387550354
MOPSO,18,70850.08129376765,3.894175177043049,0.0,42.16049626735915,1090.4710052151243,6.302471876144409
MOPSO,19,82342.05668063994,3.8846150789663803,0.0,10.643471728209187,1083.6431564853708,2.296771764755249
MODE,0,67221.34340113094,5.527565675433917,0.25706276285990554,38.68079425771873,1093.8299057068493,3.92572021484375
MODE,1,71124.57985207262,5.583275587615923,0.1231985773854539,15.301096248563834,1093.5347708583006,3.687516212463379
